"","body_mass_g","island"
"1",3750,"Torgersen"
"2",3250,"Torgersen"
"3",3450,"Torgersen"
"4",3625,"Torgersen"
"5",3475,"Torgersen"
"6",3300,"Torgersen"
"7",3200,"Torgersen"
"8",4400,"Torgersen"
"9",3450,"Torgersen"
"10",3325,"Torgersen"
"11",3600,"Biscoe"
"12",3950,"Biscoe"
"13",3800,"Biscoe"
"14",3200,"Biscoe"
"15",3950,"Biscoe"
"16",4300,"Biscoe"
"17",4050,"Biscoe"
"18",3700,"Biscoe"
"19",3800,"Biscoe"
"20",3750,"Biscoe"
"21",4400,"Biscoe"
"22",4050,"Biscoe"
"23",3950,"Biscoe"
"24",4100,"Biscoe"
"25",3050,"Torgersen"
"26",3600,"Torgersen"
"27",3550,"Torgersen"
"28",3700,"Torgersen"
"29",3700,"Torgersen"
"30",3550,"Torgersen"
"31",3200,"Torgersen"
"32",3800,"Torgersen"
"33",4725,"Biscoe"
"34",4250,"Biscoe"
"35",3550,"Biscoe"
"36",3900,"Biscoe"
"37",4775,"Biscoe"
"38",4600,"Biscoe"
"39",4275,"Biscoe"
"40",4075,"Biscoe"
"41",2900,"Torgersen"
"42",3350,"Torgersen"
"43",3150,"Torgersen"
"44",3450,"Torgersen"
"45",3050,"Torgersen"
"46",3275,"Torgersen"
"47",3050,"Torgersen"
"48",3325,"Torgersen"
